CN,EN
ZEGO,ZEGOCLOUD
https://console.zego.im,https://console.zegocloud.com
https://doc-zh.zego.im,https://www.zegocloud.com/docs
ZEGO 控制台,ZEGOCLOUD Console
ZEGO 技术支持,ZEGOCLOUD Technical Support
拉流,Play stream
推流,Publish stream
星图,Analytics Dashboard
实时音视频,Video Call
实时语音,Voice Call
超低延迟直播,Live Streaming
即时通讯,In-app chat
云端录制,Cloud recording
云端播放器,Cloud player
AI 美颜,AI-Effects
超级白板,Super Board
实时互动 AI Agent,Conversational AI
数字人 API,Digital Human AI
音视频通话 UIKit,Call Kit
互动直播 UIKit,Live Streaming Kit
语聊房 UIKit,Live Audio Room Kit
IMKit,In-app Chat Kit
实时音视频云,ZEGOCLOUD
